Satisfaction,derniere_evaluation,Nombre_de_projets,Nombre_heures_mensuelles_moyenne,Temps_passe_dans_entreprise,Accident_du travail,promotion_5_dernieres_annees,Service,niveau_salaire,random forest,logistic regression,knn,svm,expected
0.45,0.54,2.0,135.0,3.0,0.0,0.0,1.0,1.0,Left,Stay,Left,Stay,Left
0.11,0.81,6.0,305.0,4.0,0.0,0.0,1.0,1.0,Left,Left,Left,Left,Left
0.84,0.92,4.0,234.0,5.0,0.0,0.0,1.0,1.0,Stay,Stay,Stay,Stay,Left
0.41,0.55,2.0,148.0,3.0,0.0,0.0,1.0,1.0,Left,Stay,Left,Stay,Left
0.36,0.56,2.0,137.0,3.0,0.0,0.0,1.0,1.0,Left,Stay,Left,Stay,Left
0.38,0.54,2.0,143.0,3.0,0.0,0.0,1.0,1.0,Left,Stay,Left,Stay,Left
0.45,0.47,2.0,160.0,3.0,0.0,0.0,1.0,1.0,Left,Stay,Left,Stay,Left
0.78,0.99,4.0,255.0,6.0,0.0,0.0,1.0,1.0,Stay,Stay,Stay,Stay,Left
0.45,0.51,2.0,160.0,3.0,1.0,1.0,1.0,1.0,Left,Stay,Left,Stay,Left
0.76,0.89,5.0,262.0,5.0,0.0,0.0,1.0,1.0,Left,Stay,Stay,Stay,Left
0.44,0.51,2.0,156.0,3.0,0.0,0.0,9.0,3.0,Left,Stay,Left,Stay,Left
0.09,0.8,7.0,283.0,5.0,0.0,0.0,9.0,1.0,Left,Left,Left,Left,Left
0.92,0.87,4.0,226.0,6.0,1.0,0.0,9.0,2.0,Stay,Stay,Left,Stay,Left
0.74,0.91,4.0,232.0,5.0,0.0,0.0,9.0,2.0,Stay,Stay,Left,Stay,Left
0.09,0.82,6.0,249.0,4.0,0.0,0.0,9.0,2.0,Left,Left,Left,Left,Left
0.89,0.95,4.0,275.0,5.0,0.0,0.0,9.0,2.0,Stay,Stay,Left,Stay,Left
0.1,0.86,6.0,278.0,4.0,0.0,0.0,9.0,3.0,Left,Left,Left,Left,Left
0.81,1.0,4.0,253.0,5.0,0.0,0.0,9.0,1.0,Stay,Stay,Left,Stay,Left
0.11,0.8,6.0,282.0,4.0,0.0,0.0,9.0,2.0,Left,Left,Left,Left,Left
0.11,0.84,7.0,264.0,4.0,0.0,0.0,9.0,2.0,Left,Left,Left,Left,Left
